"Year","SuperSector","SectorName","Industry","IndustryName","NAICSCode","Value"
2005,"41","Wholesale trade","41424000","Nondurable goods","424",2022.4
2006,"41","Wholesale trade","41424000","Nondurable goods","424",2041.3
2007,"41","Wholesale trade","41424000","Nondurable goods","424",2062.2
2008,"41","Wholesale trade","41424000","Nondurable goods","424",2047.7
2009,"41","Wholesale trade","41424000","Nondurable goods","424",1966.1
2010,"41","Wholesale trade","41424000","Nondurable goods","424",1928.1
2011,"41","Wholesale trade","41424000","Nondurable goods","424",1939
2012,"41","Wholesale trade","41424000","Nondurable goods","424",1965.3
2013,"41","Wholesale trade","41424000","Nondurable goods","424",1984.5
2014,"41","Wholesale trade","41424000","Nondurable goods","424",2012
2015,"41","Wholesale trade","41424000","Nondurable goods","424",2027.8
2016,"41","Wholesale trade","41424000","Nondurable goods","424",2041
1990,"41","Wholesale trade","41424100","Paper and paper products","4241",161.9
1991,"41","Wholesale trade","41424100","Paper and paper products","4241",160.7
1992,"41","Wholesale trade","41424100","Paper and paper products","4241",158.6
1993,"41","Wholesale trade","41424100","Paper and paper products","4241",161.8
1994,"41","Wholesale trade","41424100","Paper and paper products","4241",164.4
1995,"41","Wholesale trade","41424100","Paper and paper products","4241",167.8
1996,"41","Wholesale trade","41424100","Paper and paper products","4241",171.4
1997,"41","Wholesale trade","41424100","Paper and paper products","4241",175.5
1998,"41","Wholesale trade","41424100","Paper and paper products","4241",176.7
1999,"41","Wholesale trade","41424100","Paper and paper products","4241",178.7
2000,"41","Wholesale trade","41424100","Paper and paper products","4241",177
2001,"41","Wholesale trade","41424100","Paper and paper products","4241",168.5
2002,"41","Wholesale trade","41424100","Paper and paper products","4241",158.6
2003,"41","Wholesale trade","41424100","Paper and paper products","4241",151.5
2004,"41","Wholesale trade","41424100","Paper and paper products","4241",151.2
2005,"41","Wholesale trade","41424100","Paper and paper products","4241",151.7
2006,"41","Wholesale trade","41424100","Paper and paper products","4241",149.7
2007,"41","Wholesale trade","41424100","Paper and paper products","4241",144.4
2008,"41","Wholesale trade","41424100","Paper and paper products","4241",139.3
2009,"41","Wholesale trade","41424100","Paper and paper products","4241",129
2010,"41","Wholesale trade","41424100","Paper and paper products","4241",124.1
2011,"41","Wholesale trade","41424100","Paper and paper products","4241",121.3
2012,"41","Wholesale trade","41424100","Paper and paper products","4241",121.1
2013,"41","Wholesale trade","41424100","Paper and paper products","4241",120.9
2014,"41","Wholesale trade","41424100","Paper and paper products","4241",122.1
2015,"41","Wholesale trade","41424100","Paper and paper products","4241",121.7
2016,"41","Wholesale trade","41424100","Paper and paper products","4241",120.8
1990,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",87.6
1991,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",87.2
1992,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",86.2
1993,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",88.1
1994,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",90.3
1995,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",93.4
1996,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",96.5
1997,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",100.1
1998,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",102.1
1999,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",103
2000,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",101.2
2001,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",98
2002,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",91.5
2003,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",86.7
2004,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",86
2005,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",85.2
2006,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",83.8
2007,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",80.1
2008,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",76.6
2009,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",70.6
2010,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",66.7
2011,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",64.6
2012,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",63.5
2013,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",63.6
2014,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",63.8
2015,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",63.2
2016,"41","Wholesale trade","41424120","Printing and writing paper and office supplies","42411,2",62.8
1990,"41","Wholesale trade","41424130","Industrial paper","42413",74.4
1991,"41","Wholesale trade","41424130","Industrial paper","42413",73.5
1992,"41","Wholesale trade","41424130","Industrial paper","42413",72.5
1993,"41","Wholesale trade","41424130","Industrial paper","42413",73.7
1994,"41","Wholesale trade","41424130","Industrial paper","42413",74.1
1995,"41","Wholesale trade","41424130","Industrial paper","42413",74.4
1996,"41","Wholesale trade","41424130","Industrial paper","42413",74.9
1997,"41","Wholesale trade","41424130","Industrial paper","42413",75.4
1998,"41","Wholesale trade","41424130","Industrial paper","42413",74.7
1999,"41","Wholesale trade","41424130","Industrial paper","42413",75.8
2000,"41","Wholesale trade","41424130","Industrial paper","42413",75.8
2001,"41","Wholesale trade","41424130","Industrial paper","42413",70.5
2002,"41","Wholesale trade","41424130","Industrial paper","42413",67.1
2003,"41","Wholesale trade","41424130","Industrial paper","42413",64.9
2004,"41","Wholesale trade","41424130","Industrial paper","42413",65.2
2005,"41","Wholesale trade","41424130","Industrial paper","42413",66.5
2006,"41","Wholesale trade","41424130","Industrial paper","42413",65.9
2007,"41","Wholesale trade","41424130","Industrial paper","42413",64.4
2008,"41","Wholesale trade","41424130","Industrial paper","42413",62.6
2009,"41","Wholesale trade","41424130","Industrial paper","42413",58.5
2010,"41","Wholesale trade","41424130","Industrial paper","42413",57.4
2011,"41","Wholesale trade","41424130","Industrial paper","42413",56.7
2012,"41","Wholesale trade","41424130","Industrial paper","42413",57.6
2013,"41","Wholesale trade","41424130","Industrial paper","42413",57.3
2014,"41","Wholesale trade","41424130","Industrial paper","42413",58.3
2015,"41","Wholesale trade","41424130","Industrial paper","42413",58.5
2016,"41","Wholesale trade","41424130","Industrial paper","42413",58
1990,"41","Wholesale trade","41424200","Druggists' goods","4242",136.2
1991,"41","Wholesale trade","41424200","Druggists' goods","4242",138
1992,"41","Wholesale trade","41424200","Druggists' goods","4242",142.2
1993,"41","Wholesale trade","41424200","Druggists' goods","4242",145.2
1994,"41","Wholesale trade","41424200","Druggists' goods","4242",145.5
1995,"41","Wholesale trade","41424200","Druggists' goods","4242",145.7
1996,"41","Wholesale trade","41424200","Druggists' goods","4242",149.3
1997,"41","Wholesale trade","41424200","Druggists' goods","4242",159.7
1998,"41","Wholesale trade","41424200","Druggists' goods","4242",169.5
1999,"41","Wholesale trade","41424200","Druggists' goods","4242",180.4
2000,"41","Wholesale trade","41424200","Druggists' goods","4242",191.8
2001,"41","Wholesale trade","41424200","Druggists' goods","4242",201.7
2002,"41","Wholesale trade","41424200","Druggists' goods","4242",211
2003,"41","Wholesale trade","41424200","Druggists' goods","4242",211
2004,"41","Wholesale trade","41424200","Druggists' goods","4242",218
2005,"41","Wholesale trade","41424200","Druggists' goods","4242",212.6
2006,"41","Wholesale trade","41424200","Druggists' goods","4242",211.1
2007,"41","Wholesale trade","41424200","Druggists' goods","4242",211.8
2008,"41","Wholesale trade","41424200","Druggists' goods","4242",208.7
2009,"41","Wholesale trade","41424200","Druggists' goods","4242",198
2010,"41","Wholesale trade","41424200","Druggists' goods","4242",189.6
2011,"41","Wholesale trade","41424200","Druggists' goods","4242",186
2012,"41","Wholesale trade","41424200","Druggists' goods","4242",187.5
2013,"41","Wholesale trade","41424200","Druggists' goods","4242",190.1
2014,"41","Wholesale trade","41424200","Druggists' goods","4242",195.1
2015,"41","Wholesale trade","41424200","Druggists' goods","4242",200
2016,"41","Wholesale trade","41424200","Druggists' goods","4242",201.9
1990,"41","Wholesale trade","41424300","Apparel and piece goods","4243",151.7
1991,"41","Wholesale trade","41424300","Apparel and piece goods","4243",150.7
1992,"41","Wholesale trade","41424300","Apparel and piece goods","4243",154.7
1993,"41","Wholesale trade","41424300","Apparel and piece goods","4243",155
1994,"41","Wholesale trade","41424300","Apparel and piece goods","4243",160
1995,"41","Wholesale trade","41424300","Apparel and piece goods","4243",166.9
1996,"41","Wholesale trade","41424300","Apparel and piece goods","4243",164.7
1997,"41","Wholesale trade","41424300","Apparel and piece goods","4243",167.2
1998,"41","Wholesale trade","41424300","Apparel and piece goods","4243",166.8
1999,"41","Wholesale trade","41424300","Apparel and piece goods","4243",166.2
2000,"41","Wholesale trade","41424300","Apparel and piece goods","4243",163.1
2001,"41","Wholesale trade","41424300","Apparel and piece goods","4243",154.5
2002,"41","Wholesale trade","41424300","Apparel and piece goods","4243",150.1
2003,"41","Wholesale trade","41424300","Apparel and piece goods","4243",149.4
2004,"41","Wholesale trade","41424300","Apparel and piece goods","4243",146.5
2005,"41","Wholesale trade","41424300","Apparel and piece goods","4243",147.5
2006,"41","Wholesale trade","41424300","Apparel and piece goods","4243",152
2007,"41","Wholesale trade","41424300","Apparel and piece goods","4243",152.9
2008,"41","Wholesale trade","41424300","Apparel and piece goods","4243",148.6
2009,"41","Wholesale trade","41424300","Apparel and piece goods","4243",138
2010,"41","Wholesale trade","41424300","Apparel and piece goods","4243",136.7
2011,"41","Wholesale trade","41424300","Apparel and piece goods","4243",138.4
2012,"41","Wholesale trade","41424300","Apparel and piece goods","4243",140.6
2013,"41","Wholesale trade","41424300","Apparel and piece goods","4243",141.9
2014,"41","Wholesale trade","41424300","Apparel and piece goods","4243",145.2
2015,"41","Wholesale trade","41424300","Apparel and piece goods","4243",148.8
2016,"41","Wholesale trade","41424300","Apparel and piece goods","4243",151.8
1990,"41","Wholesale trade","41424330","Women's and children's clothing","42433",67
1991,"41","Wholesale trade","41424330","Women's and children's clothing","42433",65.1
1992,"41","Wholesale trade","41424330","Women's and children's clothing","42433",67
1993,"41","Wholesale trade","41424330","Women's and children's clothing","42433",65.5
1994,"41","Wholesale trade","41424330","Women's and children's clothing","42433",68.1
1995,"41","Wholesale trade","41424330","Women's and children's clothing","42433",70.6
1996,"41","Wholesale trade","41424330","Women's and children's clothing","42433",70.1
1997,"41","Wholesale trade","41424330","Women's and children's clothing","42433",71
1998,"41","Wholesale trade","41424330","Women's and children's clothing","42433",70.1
1999,"41","Wholesale trade","41424330","Women's and children's clothing","42433",69.7
2000,"41","Wholesale trade","41424330","Women's and children's clothing","42433",67.1
2001,"41","Wholesale trade","41424330","Women's and children's clothing","42433",64.5
2002,"41","Wholesale trade","41424330","Women's and children's clothing","42433",63
2003,"41","Wholesale trade","41424330","Women's and children's clothing","42433",62.8
2004,"41","Wholesale trade","41424330","Women's and children's clothing","42433",62.1
2005,"41","Wholesale trade","41424330","Women's and children's clothing","42433",63
2006,"41","Wholesale trade","41424330","Women's and children's clothing","42433",67
2007,"41","Wholesale trade","41424330","Women's and children's clothing","42433",68
2008,"41","Wholesale trade","41424330","Women's and children's clothing","42433",65.4
2009,"41","Wholesale trade","41424330","Women's and children's clothing","42433",61.1
2010,"41","Wholesale trade","41424330","Women's and children's clothing","42433",63.1
2011,"41","Wholesale trade","41424330","Women's and children's clothing","42433",64.6
2012,"41","Wholesale trade","41424330","Women's and children's clothing","42433",67.4
2013,"41","Wholesale trade","41424330","Women's and children's clothing","42433",70.7
2014,"41","Wholesale trade","41424330","Women's and children's clothing","42433",73
2015,"41","Wholesale trade","41424330","Women's and children's clothing","42433",73.5
2016,"41","Wholesale trade","41424330","Women's and children's clothing","42433",76.1
1990,"41","Wholesale trade","41424400","Grocery and related products","4244",622.7
1991,"41","Wholesale trade","41424400","Grocery and related products","4244",620.4
1992,"41","Wholesale trade","41424400","Grocery and related products","4244",620.8
1993,"41","Wholesale trade","41424400","Grocery and related products","4244",620.8
1994,"41","Wholesale trade","41424400","Grocery and related products","4244",638.3
1995,"41","Wholesale trade","41424400","Grocery and related products","4244",653.7
1996,"41","Wholesale trade","41424400","Grocery and related products","4244",656.7
1997,"41","Wholesale trade","41424400","Grocery and related products","4244",664.4
1998,"41","Wholesale trade","41424400","Grocery and related products","4244",674.1
1999,"41","Wholesale trade","41424400","Grocery and related products","4244",687.1
2000,"41","Wholesale trade","41424400","Grocery and related products","4244",689.3
2001,"41","Wholesale trade","41424400","Grocery and related products","4244",683.5
2002,"41","Wholesale trade","41424400","Grocery and related products","4244",679.8
2003,"41","Wholesale trade","41424400","Grocery and related products","4244",684.9
2004,"41","Wholesale trade","41424400","Grocery and related products","4244",690.6
2005,"41","Wholesale trade","41424400","Grocery and related products","4244",699.2
2006,"41","Wholesale trade","41424400","Grocery and related products","4244",708.6
2007,"41","Wholesale trade","41424400","Grocery and related products","4244",723.5
2008,"41","Wholesale trade","41424400","Grocery and related products","4244",729.6
2009,"41","Wholesale trade","41424400","Grocery and related products","4244",710.4
2010,"41","Wholesale trade","41424400","Grocery and related products","4244",704.4
2011,"41","Wholesale trade","41424400","Grocery and related products","4244",714.4
2012,"41","Wholesale trade","41424400","Grocery and related products","4244",723.5
2013,"41","Wholesale trade","41424400","Grocery and related products","4244",726.6
2014,"41","Wholesale trade","41424400","Grocery and related products","4244",735.1
2015,"41","Wholesale trade","41424400","Grocery and related products","4244",742.1
2016,"41","Wholesale trade","41424400","Grocery and related products","4244",752.9
1990,"41","Wholesale trade","41424410","General line grocery","42441",197.8
1991,"41","Wholesale trade","41424410","General line grocery","42441",197.7
1992,"41","Wholesale trade","41424410","General line grocery","42441",197.7
1993,"41","Wholesale trade","41424410","General line grocery","42441",199.2
1994,"41","Wholesale trade","41424410","General line grocery","42441",201.3
1995,"41","Wholesale trade","41424410","General line grocery","42441",204.8
1996,"41","Wholesale trade","41424410","General line grocery","42441",207
1997,"41","Wholesale trade","41424410","General line grocery","42441",209.5
1998,"41","Wholesale trade","41424410","General line grocery","42441",211.7
1999,"41","Wholesale trade","41424410","General line grocery","42441",217.6
2000,"41","Wholesale trade","41424410","General line grocery","42441",221.6
2001,"41","Wholesale trade","41424410","General line grocery","42441",220.6
2002,"41","Wholesale trade","41424410","General line grocery","42441",217.6
2003,"41","Wholesale trade","41424410","General line grocery","42441",215.5
2004,"41","Wholesale trade","41424410","General line grocery","42441",214.4
2005,"41","Wholesale trade","41424410","General line grocery","42441",216.3
2006,"41","Wholesale trade","41424410","General line grocery","42441",219.4
2007,"41","Wholesale trade","41424410","General line grocery","42441",226.8
2008,"41","Wholesale trade","41424410","General line grocery","42441",230.6
2009,"41","Wholesale trade","41424410","General line grocery","42441",229.2
2010,"41","Wholesale trade","41424410","General line grocery","42441",225
2011,"41","Wholesale trade","41424410","General line grocery","42441",226.5
2012,"41","Wholesale trade","41424410","General line grocery","42441",229.3
2013,"41","Wholesale trade","41424410","General line grocery","42441",231.3
2014,"41","Wholesale trade","41424410","General line grocery","42441",230.5
2015,"41","Wholesale trade","41424410","General line grocery","42441",232.9
2016,"41","Wholesale trade","41424410","General line grocery","42441",237.2
1990,"41","Wholesale trade","41424480","Fruits and vegetables","42448",75.8
1991,"41","Wholesale trade","41424480","Fruits and vegetables","42448",72.1
1992,"41","Wholesale trade","41424480","Fruits and vegetables","42448",73
1993,"41","Wholesale trade","41424480","Fruits and vegetables","42448",72.3
1994,"41","Wholesale trade","41424480","Fruits and vegetables","42448",75.9
1995,"41","Wholesale trade","41424480","Fruits and vegetables","42448",76.3
1996,"41","Wholesale trade","41424480","Fruits and vegetables","42448",76.2
1997,"41","Wholesale trade","41424480","Fruits and vegetables","42448",76.5
1998,"41","Wholesale trade","41424480","Fruits and vegetables","42448",73
1999,"41","Wholesale trade","41424480","Fruits and vegetables","42448",75.5
2000,"41","Wholesale trade","41424480","Fruits and vegetables","42448",75.7
2001,"41","Wholesale trade","41424480","Fruits and vegetables","42448",72.8
2002,"41","Wholesale trade","41424480","Fruits and vegetables","42448",71.9
2003,"41","Wholesale trade","41424480","Fruits and vegetables","42448",73.6
2004,"41","Wholesale trade","41424480","Fruits and vegetables","42448",74.4
2005,"41","Wholesale trade","41424480","Fruits and vegetables","42448",76.6
2006,"41","Wholesale trade","41424480","Fruits and vegetables","42448",77.5
2007,"41","Wholesale trade","41424480","Fruits and vegetables","42448",80.6
2008,"41","Wholesale trade","41424480","Fruits and vegetables","42448",81.9
2009,"41","Wholesale trade","41424480","Fruits and vegetables","42448",78.9
2010,"41","Wholesale trade","41424480","Fruits and vegetables","42448",80.2
2011,"41","Wholesale trade","41424480","Fruits and vegetables","42448",82.9
2012,"41","Wholesale trade","41424480","Fruits and vegetables","42448",86
2013,"41","Wholesale trade","41424480","Fruits and vegetables","42448",89.1
2014,"41","Wholesale trade","41424480","Fruits and vegetables","42448",91.2
2015,"41","Wholesale trade","41424480","Fruits and vegetables","42448",93.9
2016,"41","Wholesale trade","41424480","Fruits and vegetables","42448",96.4
1990,"41","Wholesale trade","41424500","Farm product raw materials","4245",99.8
1991,"41","Wholesale trade","41424500","Farm product raw materials","4245",96.7
1992,"41","Wholesale trade","41424500","Farm product raw materials","4245",95.3
1993,"41","Wholesale trade","41424500","Farm product raw materials","4245",92.9
1994,"41","Wholesale trade","41424500","Farm product raw materials","4245",92.8
1995,"41","Wholesale trade","41424500","Farm product raw materials","4245",91.1
1996,"41","Wholesale trade","41424500","Farm product raw materials","4245",88
1997,"41","Wholesale trade","41424500","Farm product raw materials","4245",87.5
1998,"41","Wholesale trade","41424500","Farm product raw materials","4245",87.9
1999,"41","Wholesale trade","41424500","Farm product raw materials","4245",85.1
2000,"41","Wholesale trade","41424500","Farm product raw materials","4245",81.5
2001,"41","Wholesale trade","41424500","Farm product raw materials","4245",78
2002,"41","Wholesale trade","41424500","Farm product raw materials","4245",75.1
2003,"41","Wholesale trade","41424500","Farm product raw materials","4245",74.2
2004,"41","Wholesale trade","41424500","Farm product raw materials","4245",72.9
2005,"41","Wholesale trade","41424500","Farm product raw materials","4245",73.8
2006,"41","Wholesale trade","41424500","Farm product raw materials","4245",73
2007,"41","Wholesale trade","41424500","Farm product raw materials","4245",74.7
2008,"41","Wholesale trade","41424500","Farm product raw materials","4245",74.6
2009,"41","Wholesale trade","41424500","Farm product raw materials","4245",74.3
2010,"41","Wholesale trade","41424500","Farm product raw materials","4245",74.6
2011,"41","Wholesale trade","41424500","Farm product raw materials","4245",74.7
2012,"41","Wholesale trade","41424500","Farm product raw materials","4245",74.7
2013,"41","Wholesale trade","41424500","Farm product raw materials","4245",74.1
2014,"41","Wholesale trade","41424500","Farm product raw materials","4245",74.5
2015,"41","Wholesale trade","41424500","Farm product raw materials","4245",74.5
2016,"41","Wholesale trade","41424500","Farm product raw materials","4245",73.8
1990,"41","Wholesale trade","41424510","Grains and field beans","42451",55.1
1991,"41","Wholesale trade","41424510","Grains and field beans","42451",53.2
1992,"41","Wholesale trade","41424510","Grains and field beans","42451",52.8
1993,"41","Wholesale trade","41424510","Grains and field beans","42451",50.9
1994,"41","Wholesale trade","41424510","Grains and field beans","42451",51
1995,"41","Wholesale trade","41424510","Grains and field beans","42451",50.7
1996,"41","Wholesale trade","41424510","Grains and field beans","42451",49.8
1997,"41","Wholesale trade","41424510","Grains and field beans","42451",49.5
1998,"41","Wholesale trade","41424510","Grains and field beans","42451",49.9
1999,"41","Wholesale trade","41424510","Grains and field beans","42451",49.6
2000,"41","Wholesale trade","41424510","Grains and field beans","42451",47.4
2001,"41","Wholesale trade","41424510","Grains and field beans","42451",45.5
2002,"41","Wholesale trade","41424510","Grains and field beans","42451",43.4
2003,"41","Wholesale trade","41424510","Grains and field beans","42451",42.8
2004,"41","Wholesale trade","41424510","Grains and field beans","42451",42.5
2005,"41","Wholesale trade","41424510","Grains and field beans","42451",42.9
2006,"41","Wholesale trade","41424510","Grains and field beans","42451",42.4
2007,"41","Wholesale trade","41424510","Grains and field beans","42451",43.6
2008,"41","Wholesale trade","41424510","Grains and field beans","42451",44.8
2009,"41","Wholesale trade","41424510","Grains and field beans","42451",45.8
2010,"41","Wholesale trade","41424510","Grains and field beans","42451",46.6
2011,"41","Wholesale trade","41424510","Grains and field beans","42451",46.5
2012,"41","Wholesale trade","41424510","Grains and field beans","42451",46.9
2013,"41","Wholesale trade","41424510","Grains and field beans","42451",47
2014,"41","Wholesale trade","41424510","Grains and field beans","42451",47.8
2015,"41","Wholesale trade","41424510","Grains and field beans","42451",48.3
2016,"41","Wholesale trade","41424510","Grains and field beans","42451",48.4
1990,"41","Wholesale trade","41424600","Chemicals","4246",119.6
1991,"41","Wholesale trade","41424600","Chemicals","4246",121.7
1992,"41","Wholesale trade","41424600","Chemicals","4246",122.2
1993,"41","Wholesale trade","41424600","Chemicals","4246",123.9
1994,"41","Wholesale trade","41424600","Chemicals","4246",125
1995,"41","Wholesale trade","41424600","Chemicals","4246",129
1996,"41","Wholesale trade","41424600","Chemicals","4246",129.5
1997,"41","Wholesale trade","41424600","Chemicals","4246",132.7
1998,"41","Wholesale trade","41424600","Chemicals","4246",134.6
1999,"41","Wholesale trade","41424600","Chemicals","4246",137.1
2000,"41","Wholesale trade","41424600","Chemicals","4246",139.3
2001,"41","Wholesale trade","41424600","Chemicals","4246",135.1
2002,"41","Wholesale trade","41424600","Chemicals","4246",132.4
2003,"41","Wholesale trade","41424600","Chemicals","4246",130.7
2004,"41","Wholesale trade","41424600","Chemicals","4246",131.1
2005,"41","Wholesale trade","41424600","Chemicals","4246",131.1
2006,"41","Wholesale trade","41424600","Chemicals","4246",133
2007,"41","Wholesale trade","41424600","Chemicals","4246",132
2008,"41","Wholesale trade","41424600","Chemicals","4246",129.7
2009,"41","Wholesale trade","41424600","Chemicals","4246",123.2
2010,"41","Wholesale trade","41424600","Chemicals","4246",120.1
2011,"41","Wholesale trade","41424600","Chemicals","4246",122.3
2012,"41","Wholesale trade","41424600","Chemicals","4246",125.3
2013,"41","Wholesale trade","41424600","Chemicals","4246",127.2
2014,"41","Wholesale trade","41424600","Chemicals","4246",128.8
2015,"41","Wholesale trade","41424600","Chemicals","4246",128.8
2016,"41","Wholesale trade","41424600","Chemicals","4246",128.2
1990,"41","Wholesale trade","41424700","Petroleum","4247",154.9
1991,"41","Wholesale trade","41424700","Petroleum","4247",146.9
1992,"41","Wholesale trade","41424700","Petroleum","4247",136.9
1993,"41","Wholesale trade","41424700","Petroleum","4247",129.2
1994,"41","Wholesale trade","41424700","Petroleum","4247",127.9
1995,"41","Wholesale trade","41424700","Petroleum","4247",126
1996,"41","Wholesale trade","41424700","Petroleum","4247",123.5
1997,"41","Wholesale trade","41424700","Petroleum","4247",123.1
1998,"41","Wholesale trade","41424700","Petroleum","4247",121.9
1999,"41","Wholesale trade","41424700","Petroleum","4247",122.5
2000,"41","Wholesale trade","41424700","Petroleum","4247",118.5
2001,"41","Wholesale trade","41424700","Petroleum","4247",114.3
2002,"41","Wholesale trade","41424700","Petroleum","4247",110.6
2003,"41","Wholesale trade","41424700","Petroleum","4247",105.5
2004,"41","Wholesale trade","41424700","Petroleum","4247",100.8
2005,"41","Wholesale trade","41424700","Petroleum","4247",100.2
2006,"41","Wholesale trade","41424700","Petroleum","4247",100.4
2007,"41","Wholesale trade","41424700","Petroleum","4247",100.8
2008,"41","Wholesale trade","41424700","Petroleum","4247",100.1
2009,"41","Wholesale trade","41424700","Petroleum","4247",96.3
2010,"41","Wholesale trade","41424700","Petroleum","4247",93.8
2011,"41","Wholesale trade","41424700","Petroleum","4247",92.6
2012,"41","Wholesale trade","41424700","Petroleum","4247",93.9
2013,"41","Wholesale trade","41424700","Petroleum","4247",95
2014,"41","Wholesale trade","41424700","Petroleum","4247",99.2
2015,"41","Wholesale trade","41424700","Petroleum","4247",97.4
2016,"41","Wholesale trade","41424700","Petroleum","4247",95.6
1990,"41","Wholesale trade","41424800","Alcoholic beverages","4248",114.9
1991,"41","Wholesale trade","41424800","Alcoholic beverages","4248",113.7
1992,"41","Wholesale trade","41424800","Alcoholic beverages","4248",114.8
1993,"41","Wholesale trade","41424800","Alcoholic beverages","4248",115.1
1994,"41","Wholesale trade","41424800","Alcoholic beverages","4248",116.5
1995,"41","Wholesale trade","41424800","Alcoholic beverages","4248",118.3
1996,"41","Wholesale trade","41424800","Alcoholic beverages","4248",118.8
1997,"41","Wholesale trade","41424800","Alcoholic beverages","4248",119.8
1998,"41","Wholesale trade","41424800","Alcoholic beverages","4248",120.3
1999,"41","Wholesale trade","41424800","Alcoholic beverages","4248",123.5
2000,"41","Wholesale trade","41424800","Alcoholic beverages","4248",127.6
2001,"41","Wholesale trade","41424800","Alcoholic beverages","4248",130.3
2002,"41","Wholesale trade","41424800","Alcoholic beverages","4248",132.8
2003,"41","Wholesale trade","41424800","Alcoholic beverages","4248",136.9
2004,"41","Wholesale trade","41424800","Alcoholic beverages","4248",142.6
2005,"41","Wholesale trade","41424800","Alcoholic beverages","4248",147.2
2006,"41","Wholesale trade","41424800","Alcoholic beverages","4248",151.4
2007,"41","Wholesale trade","41424800","Alcoholic beverages","4248",157.3
2008,"41","Wholesale trade","41424800","Alcoholic beverages","4248",161.3
2009,"41","Wholesale trade","41424800","Alcoholic beverages","4248",162.8
2010,"41","Wholesale trade","41424800","Alcoholic beverages","4248",162.6
2011,"41","Wholesale trade","41424800","Alcoholic beverages","4248",167
2012,"41","Wholesale trade","41424800","Alcoholic beverages","4248",172.3
2013,"41","Wholesale trade","41424800","Alcoholic beverages","4248",180.7
2014,"41","Wholesale trade","41424800","Alcoholic beverages","4248",184.3
2015,"41","Wholesale trade","41424800","Alcoholic beverages","4248",188.1
2016,"41","Wholesale trade","41424800","Alcoholic beverages","4248",194.1
1990,"41","Wholesale trade","41424810","Beer and ale","42481",72.7
1991,"41","Wholesale trade","41424810","Beer and ale","42481",72.9
1992,"41","Wholesale trade","41424810","Beer and ale","42481",73.9
1993,"41","Wholesale trade","41424810","Beer and ale","42481",74.6
1994,"41","Wholesale trade","41424810","Beer and ale","42481",75.6
1995,"41","Wholesale trade","41424810","Beer and ale","42481",76.4
1996,"41","Wholesale trade","41424810","Beer and ale","42481",76.4
1997,"41","Wholesale trade","41424810","Beer and ale","42481",76.2
1998,"41","Wholesale trade","41424810","Beer and ale","42481",76.2
1999,"41","Wholesale trade","41424810","Beer and ale","42481",77.6
2000,"41","Wholesale trade","41424810","Beer and ale","42481",79.5
2001,"41","Wholesale trade","41424810","Beer and ale","42481",80.9
2002,"41","Wholesale trade","41424810","Beer and ale","42481",82.1
2003,"41","Wholesale trade","41424810","Beer and ale","42481",83.5
2004,"41","Wholesale trade","41424810","Beer and ale","42481",86.6
2005,"41","Wholesale trade","41424810","Beer and ale","42481",87.7
2006,"41","Wholesale trade","41424810","Beer and ale","42481",90.1
2007,"41","Wholesale trade","41424810","Beer and ale","42481",91.9
2008,"41","Wholesale trade","41424810","Beer and ale","42481",94.1
2009,"41","Wholesale trade","41424810","Beer and ale","42481",95
2010,"41","Wholesale trade","41424810","Beer and ale","42481",94.3
2011,"41","Wholesale trade","41424810","Beer and ale","42481",95.6
2012,"41","Wholesale trade","41424810","Beer and ale","42481",98.7
2013,"41","Wholesale trade","41424810","Beer and ale","42481",102.4
2014,"41","Wholesale trade","41424810","Beer and ale","42481",105.3
2015,"41","Wholesale trade","41424810","Beer and ale","42481",107.5
2016,"41","Wholesale trade","41424810","Beer and ale","42481",110.7
1990,"41","Wholesale trade","41424820","Wine and spirits","42482",42.2
